path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: vad , value: 6
key: vaf , value: 6
key: vae , value: 12
key: vag , value: 12
key: mpa , value: 19
key: vai , value: 18
key: val , value: 6
key: zip , value: 6
key: zio , value: 127
key: van , value: 66
key: vam , value: 18
key: vap , value: 18
key: var , value: 6
key: mpi , value: 6
key: mpl , value: 19
key: vat , value: 6
key: vav , value: 12
key: mpo , value: 30
key: vaz , value: 19
key: mpu , value: 26
key: 6do , value: 6
key: 6ès , value: 6
key: eab , value: 6
key: ead , value: 12
key: eag , value: 12
key: eaf , value: 6
key: iim , value: 6
key: iil , value: 6
key: iin , value: 12
key: eal , value: 67
key: iip , value: 6
key: eao , value: 12
key: ean , value: 6
key: eap , value: 42
key: eas , value: 12
key: ear , value: 12
key: eau , value: 6
key: eav , value: 24
key: àtr , value: 6
key: ebb , value: 54
key: ebe , value: 6
key: il2 , value: 6
key: eca , value: 7
key: ecc , value: 18
key: ece , value: 31
key: eci , value: 30
key: ech , value: 31
key: o5s , value: 7
key: eco , value: 74
key: ecn , value: 48
key: ved , value: 13
key: ee4 , value: 7
key: vec , value: 12
key: vef , value: 6
key: ecu , value: 6
key: ect , value: 6
key: vej , value: 12
key: vel , value: 30
key: ven , value: 55
key: ila , value: 43
key: ver , value: 87
key: ilf , value: 6
key: ile , value: 49
key: eda , value: 24
key: vev , value: 18
key: ede , value: 195
key: ili , value: 49
key: ill , value: 18
key: ilk , value: 6
key: iln , value: 25
key: edi , value: 128
key: ilm , value: 18
key: ilp , value: 30
key: ilo , value: 6
key: eèr , value: 7
key: ils , value: 19
key: edo , value: 12
key: eès , value: 6
key: ilu , value: 139
key: ilw , value: 6
key: edu , value: 12
key: ima , value: 54
key: imb , value: 6
key: ime , value: 30
key: eec , value: 6
key: imi , value: 49
key: eee , value: 7
key: mul , value: 18
key: eed , value: 6
key: muo , value: 6
key: mun , value: 12
key: eei , value: 6
key: imo , value: 31
key: eem , value: 6
key: eel , value: 6
key: imp , value: 6
key: io5 , value: 7
key: zod , value: 6
key: eeq , value: 6
key: ees , value: 6
key: eev , value: 24
key: ina , value: 62
key: ind , value: 37
key: inc , value: 68
key: inf , value: 18
key: ine , value: 30
key: efa , value: 6
key: iòl , value: 6
key: ing , value: 48
key: eff , value: 12
key: inj , value: 6
key: ini , value: 18
key: inl , value: 6
key: efi , value: 6
key: inm , value: 6
key: inp , value: 18
key: efl , value: 6
key: ino , value: 55
key: int , value: 80
key: ins , value: 18
key: ega , value: 12
key: iod , value: 18
key: iog , value: 6
key: ioi , value: 6
key: ioj , value: 6
key: iom , value: 7
key: ioo , value: 13
key: ion , value: 231
key: egl , value: 54
key: iop , value: 30
key: ios , value: 30
key: ior , value: 36
key: via , value: 18
key: vid , value: 12
key: egr , value: 30
key: egu , value: 12
key: raa , value: 13
key: vie , value: 6
key: rad , value: 19
key: rac , value: 12
key: raf , value: 30
key: vil , value: 139
key: rag , value: 24
key: vin , value: 6
key: ipa , value: 30
key: ral , value: 30
key: vip , value: 6
key: ran , value: 60
key: ram , value: 54
key: ipe , value: 12
key: eha , value: 18
key: rap , value: 19
key: vit , value: 18
key: iph , value: 6
key: rao , value: 6
key: vis , value: 18
key: rar , value: 12
key: ipi , value: 18
key: rat , value: 174
key: ras , value: 12
key: rav , value: 25
key: viz , value: 6
key: rau , value: 6
key: edè , value: 7
key: ipo , value: 37
key: ipr , value: 67
key: raz , value: 12
key: ray , value: 6
key: ipt , value: 12
key: 2de , value: 7
key: eic , value: 18
key: rbo , value: 6
key: eib , value: 6
key: eid , value: 18
key: aac , value: 12
key: eim , value: 6
key: eil , value: 43
key: ein , value: 68
key: aam , value: 6
key: iqu , value: 18
key: aal , value: 18
key: eip , value: 12
key: eis , value: 13
key: eir , value: 6
key: aan , value: 24
key: aap , value: 38
key: rca , value: 18
key: rce , value: 26
key: rch , value: 19
key: ire , value: 24
key: irh , value: 6
key: rco , value: 7
key: abb , value: 18
key: aba , value: 19
key: iri , value: 6
key: iro , value: 12
key: abi , value: 12
key: el2 , value: 13
key: el1 , value: 43
key: ejo , value: 12
key: rde , value: 6
key: abs , value: 7
key: isa , value: 6
key: isc , value: 49
key: ise , value: 36
key: isi , value: 42
key: aca , value: 12
key: rdp , value: 7
key: acc , value: 25
key: iso , value: 7
key: rdw , value: 6
key: rdv , value: 6
key: aci , value: 43
key: isp , value: 31
key: ach , value: 12
key: iss , value: 6
key: isu , value: 18
key: ist , value: 186
key: aco , value: 143
key: isv , value: 96
key: acq , value: 12
key: reb , value: 48
key: rea , value: 30
key: acp , value: 6
key: red , value: 24
key: acs , value: 6
key: rec , value: 50
key: acu , value: 18
key: òaf , value: 6
key: 2gi , value: 6
key: reg , value: 18
key: rei , value: 24
key: ita , value: 30
key: rel , value: 55
key: ren , value: 55
key: ite , value: 55
key: ela , value: 90
key: rem , value: 18
key: rep , value: 18
key: elc , value: 36
key: rer , value: 12
key: elf , value: 6
key: ele , value: 37
key: iti , value: 37
key: ada , value: 24
key: ret , value: 6
key: res , value: 55
key: rev , value: 6
key: eli , value: 73
key: reu , value: 24
key: ade , value: 78
key: ell , value: 165
key: vòa , value: 6
key: aèl , value: 6
key: ito , value: 18
key: itr , value: 6
key: eln , value: 18
key: rez , value: 6
key: adi , value: 31
key: elm , value: 36
key: itt , value: 25
key: elp , value: 18
key: elo , value: 24
key: 6pe , value: 6
key: adm , value: 6
key: rfa , value: 13
key: els , value: 31
key: ado , value: 6
key: elu , value: 6
key: iùa , value: 6
key: elx , value: 6
key: adu , value: 6
key: iùb , value: 6
key: iùf , value: 6
key: ema , value: 156
key: iug , value: 12
key: eme , value: 31
key: emi , value: 42
key: rfu , value: 12
key: aed , value: 12
key: aeg , value: 6
key: iùs , value: 6
key: iun , value: 49
key: ius , value: 12
key: emo , value: 30
key: vob , value: 6
key: emp , value: 24
key: iut , value: 6
key: ael , value: 6
key: vod , value: 20
key: voc , value: 18
key: aeq , value: 6
key: emu , value: 12
